retailer_product_id,category
7205657,bakery
7205668,bakery
7205679,bakery
7205680,bakery
7205792,bakery
7210680,bakery
7212324,bakery
7212335,bakery
7226023,bakery
7226034,bakery
7266287,bakery
7266367,bakery
7278865,bakery
7299810,bakery
7362542,bakery
7414293,bakery
7432921,bakery
7490189,bakery
7502073,bakery
7507113,bakery
7523211,bakery
7533587,bakery
7533598,bakery
7534885,bakery
7545928,bakery
7570233,bakery
7577731,bakery
7620921,bakery
7624263,bakery
7669002,bakery
7669013,bakery
7669024,bakery
7716850,bakery
7741030,bakery
7741835,bakery
7752241,bakery
7752650,bakery
7757121,bakery
7757132,bakery
7757165,bakery
7761876,bakery
7801201,bakery
7802260,bakery
7829244,bakery
7831246,bakery
7855970,bakery
7855980,bakery
7855991,bakery
7863480,bakery
7863592,bakery
7863606,bakery
7864449,bakery
7864450,bakery
7864722,bakery
7864744,bakery
7877087,bakery
7885766,bakery
7889392,bakery
8011033,bakery
8013582,bakery
8050567,bakery
8050614,bakery
8050658,bakery
8071363,bakery
8071636,bakery
8085029,bakery
8097061,bakery
8100122,bakery
8100133,bakery
8100144,bakery
8100155,bakery
8104382,bakery
8104972,bakery
8105090,bakery
8105782,bakery
8118081,bakery
8118092,bakery
8119754,bakery
8124674,bakery
8145583,bakery
8145620,bakery
8145685,bakery
8146203,bakery
8146225,bakery
8146258,bakery
8146270,bakery
8146316,bakery
8153661,bakery
8162061,bakery
8162072,bakery
8162200,bakery
8162276,bakery
8162312,bakery
8165139,bakery
8165161,bakery
8363234,bakery
8368464,bakery
8368511,bakery
8386411,bakery
8391284,bakery
8391309,bakery
8566038,bakery
8568930,bakery
8569863,bakery
8583241,bakery
8601820,bakery
8601853,bakery
8636359,bakery
8639925,bakery
8687677,bakery
8706181,bakery
8706341,bakery
8706352,bakery
8706363,bakery
8706476,bakery
8706512,bakery
8706534,bakery
8706556,bakery
8706691,bakery
8708154,bakery
8708234,bakery
8708813,bakery
8709190,bakery
8711192,bakery
8711228,bakery
8711240,bakery
8711250,bakery
8711272,bakery
8711283,bakery
8711432,bakery
8712038,bakery
8712071,bakery
8712107,bakery
8712129,bakery
8712140,bakery
8712151,bakery
8712162,bakery
8712297,bakery
8712366,bakery
8712559,bakery
8712560,bakery
8712570,bakery
8712606,bakery
8712639,bakery
8712661,bakery
8712752,bakery
8714587,bakery
8716185,bakery
8717100,bakery
8717224,bakery
8717279,bakery
8717280,bakery
8762240,bakery
8770486,bakery
8782565,bakery
8836824,bakery
8836960,bakery
8858940,bakery
8887042,bakery
8914972,bakery
8914983,bakery
8921210,bakery
8951050,bakery
8951196,bakery
8951301,bakery
8951390,bakery
8956156,bakery
8956189,bakery
8962501,bakery
8962523,bakery
8985788,bakery
8995056,bakery
8995067,bakery
8999556,bakery
9028122,bakery
9028133,bakery
9036663,bakery
9036674,bakery
9036685,bakery
9036696,bakery
9045733,bakery
9045915,bakery
9046011,bakery
9052819,bakery
9061252,bakery
9068637,bakery
9076034,bakery
9077853,bakery
9114461,bakery
9120090,bakery
9155516,bakery
9155538,bakery
9162464,bakery
9191484,bakery
9201680,bakery
9228493,bakery
9239569,bakery
9239570,bakery
9269093,bakery
9280325,bakery
9384466,bakery
9384660,bakery
9391280,bakery
9467745,bakery
9600131,bakery
9714571,bakery
9714786,bakery
9795915,bakery
9820014,bakery
9851947,bakery
9880311,bakery
9895760,bakery
9933564,bakery
9933713,bakery
9949520,bakery
9961413,bakery
9961617,bakery
9999675,bakery
9999686,bakery
9999697,bakery
9999799,bakery
9999926,bakery
10999,chips-chocolates-snacks
13079,chips-chocolates-snacks
25078,chips-chocolates-snacks
31922,chips-chocolates-snacks
67850,chips-chocolates-snacks
67861,chips-chocolates-snacks
85433,chips-chocolates-snacks
114349,chips-chocolates-snacks
117256,chips-chocolates-snacks
136487,chips-chocolates-snacks
136498,chips-chocolates-snacks
136523,chips-chocolates-snacks
136556,chips-chocolates-snacks
138201,chips-chocolates-snacks
142413,chips-chocolates-snacks
142424,chips-chocolates-snacks
145604,chips-chocolates-snacks
152880,chips-chocolates-snacks
153941,chips-chocolates-snacks
155732,chips-chocolates-snacks
161597,chips-chocolates-snacks
165168,chips-chocolates-snacks
169828,chips-chocolates-snacks
184253,chips-chocolates-snacks
199523,chips-chocolates-snacks
225485,chips-chocolates-snacks
229828,chips-chocolates-snacks
235060,chips-chocolates-snacks
245868,chips-chocolates-snacks
248709,chips-chocolates-snacks
268127,chips-chocolates-snacks
